date	freshwater_discharge_m3_s	precipitation_mm_month	data_role
1984-06-01	9.82	295.30	calibration
1984-07-01	8.68	230.10	calibration
1984-08-01	9.53	258.20	calibration
1984-09-01	16.43	203.90	calibration
1984-10-01	6.72	46.80	calibration
1984-11-01	4.82	63.10	calibration
1984-12-01	3.69	37.20	calibration
1985-01-01	4.05	15.20	calibration
1985-02-01	3.62	130.90	calibration
1985-03-01	3.70	125.00	calibration
1985-04-01	4.59	414.50	calibration
1985-05-01	3.51	57.70	calibration
1985-06-01	3.07	51.30	calibration
1985-07-01	11.40	654.50	calibration
1985-08-01	9.25	241.20	calibration
1985-09-01	4.71	10.00	calibration
1985-10-01	3.52	87.80	calibration
1985-11-01	4.40	177.50	calibration
1985-12-01	22.16	246.60	calibration
1986-01-01	7.31	50.30	calibration
1986-02-01	4.52	91.40	calibration
1986-03-01	4.56	192.00	calibration
1986-04-01	3.19	178.40	calibration
1986-05-01	3.80	154.10	calibration
1986-06-01	3.95	177.30	calibration
1986-07-01	2.97	103.00	calibration
1986-08-01	2.81	32.00	calibration
1986-09-01	3.09	201.00	calibration
1986-10-01	2.41	46.50	calibration
1986-11-01	4.44	289.00	calibration
1986-12-01	3.94	202.90	calibration
1987-01-01	2.46	36.20	calibration
1987-02-01	2.25	130.60	calibration
1987-03-01	2.94	201.50	calibration
1987-04-01	3.90	142.70	calibration
1987-05-01	2.45	152.70	calibration
1987-06-01	2.25	162.10	calibration
1987-07-01	2.59	76.60	calibration
1987-08-01	1.34	15.90	calibration
1987-09-01	1.84	140.10	calibration
1987-10-01	0.84	49.30	calibration
1987-11-01	1.37	159.10	calibration
1987-12-01	2.56	269.80	calibration
1988-01-01	2.34	185.40	calibration
1988-02-01	2.06	237.40	calibration
1988-03-01	2.24	123.30	calibration
1988-04-01	3.07	188.90	calibration
1988-05-01	3.35	163.40	calibration
1988-06-01	4.70	228.20	calibration
1988-07-01	4.24	163.00	calibration
1988-08-01	4.93	172.50	calibration
1988-09-01	3.80	107.00	calibration
1988-10-01	3.27	99.80	calibration
1988-11-01	3.41	127.40	calibration
1988-12-01	6.25	162.30	calibration
1989-01-01	3.00	116.00	calibration
1989-02-01	2.29	23.00	calibration
1989-03-01	2.48	142.40	calibration
1989-04-01	4.83	247.40	calibration
1989-05-01	3.44	197.60	calibration
1989-06-01	5.06	174.90	calibration
1989-07-01	4.25	49.00	calibration
1989-08-01	6.58	325.20	calibration
1989-09-01	4.38	48.90	calibration
1989-10-01	3.13	98.40	calibration
1989-11-01	3.65	123.80	calibration
1989-12-01	12.95	528.40	calibration
1990-01-01	11.99	174.70	calibration
1990-02-01	5.47	118.00	calibration
1990-03-01	4.24	104.80	calibration
1990-04-01	3.55	162.60	calibration
1990-05-01	3.88	239.80	calibration
1990-06-01	4.74	166.40	calibration
1990-07-01	4.35	57.70	calibration
1990-08-01	4.87	217.60	calibration
1990-09-01	4.18	124.40	calibration
1990-10-01	10.06	405.10	calibration
1990-11-01	5.45	33.00	calibration
1990-12-01	6.27	232.40	calibration
1991-01-01	3.83	41.20	calibration
1991-02-01	3.13	133.00	calibration
1991-03-01	3.44	189.60	calibration
1991-04-01	3.79	156.40	calibration
1991-05-01	9.32	312.00	calibration
1991-06-01	9.68	141.50	calibration
1991-07-01	7.54	206.90	calibration
1991-08-01	6.67	173.70	calibration
1991-09-01	6.35	86.60	calibration
1991-10-01	4.54	169.10	calibration
1991-11-01	6.36	273.80	calibration
1991-12-01	5.00	58.00	calibration
1992-01-01	NA	NA	calibration
1992-02-01	19.02	4.40	calibration
1992-03-01	9.22	136.30	calibration
1992-04-01	5.92	36.60	calibration
1992-05-01	NA	NA	calibration
1992-06-01	NA	NA	calibration
1992-07-01	8.86	149.70	calibration
1992-08-01	7.15	157.30	calibration
1992-09-01	6.67	130.80	calibration
1992-10-01	4.16	80.70	calibration
1992-11-01	4.78	100.40	calibration
1992-12-01	3.57	104.70	calibration
1993-01-01	2.00	62.40	calibration
1993-02-01	2.00	49.20	calibration
1993-03-01	1.40	58.10	calibration
1993-04-01	1.15	125.70	calibration
1993-05-01	2.18	112.40	calibration
1993-06-01	4.30	223.60	calibration
1993-07-01	2.67	97.00	calibration
1993-08-01	3.11	109.40	calibration
1993-09-01	1.99	86.40	calibration
1993-10-01	2.05	100.50	calibration
1993-11-01	2.13	162.30	calibration
1993-12-01	1.56	124.00	calibration
1994-01-01	0.94	67.40	calibration
1994-02-01	3.93	265.60	calibration
1994-03-01	2.81	130.00	calibration
1994-04-01	3.17	175.40	calibration
1994-05-01	4.85	199.60	calibration
1994-06-01	4.38	95.60	calibration
1994-07-01	NA	240.00	calibration
1994-08-01	5.36	84.20	calibration
1994-09-01	5.30	171.60	calibration
1994-10-01	4.14	86.60	calibration
1994-11-01	3.18	134.30	calibration
1994-12-01	2.35	57.40	calibration
1995-01-01	1.72	60.50	calibration
1995-02-01	1.61	66.80	calibration
1995-03-01	1.30	200.30	calibration
1995-04-01	1.65	268.30	calibration
1995-05-01	2.27	172.00	calibration
1995-06-01	1.93	160.80	calibration
1995-07-01	3.56	266.10	calibration
1995-08-01	5.38	108.40	calibration
1995-09-01	4.92	129.30	calibration
1995-10-01	5.75	69.80	calibration
1995-11-01	8.57	397.40	calibration
1995-12-01	6.83	94.00	calibration
1996-01-01	5.45	154.00	calibration
1996-02-01	5.24	50.00	calibration
1996-03-01	3.45	147.90	calibration
1996-04-01	3.38	264.00	calibration
1996-05-01	3.46	111.40	calibration
1996-06-01	3.06	96.20	calibration
1996-07-01	2.87	112.20	calibration
1996-08-01	3.29	156.20	calibration
1996-09-01	4.68	161.20	calibration
1996-10-01	2.89	104.40	calibration
1996-11-01	5.58	205.20	calibration
1996-12-01	7.74	24.20	calibration
1997-01-01	2.95	134.00	calibration
1997-02-01	6.14	357.80	calibration
1997-03-01	13.42	380.00	calibration
1997-04-01	7.89	209.10	calibration
1997-05-01	8.70	216.60	calibration
1997-06-01	6.46	68.60	calibration
1997-07-01	6.54	138.50	calibration
1997-08-01	4.18	59.20	calibration
1997-09-01	2.84	18.80	calibration
1997-10-01	3.27	125.80	calibration
1997-11-01	2.36	72.00	calibration
1997-12-01	1.41	92.80	calibration
1998-01-01	2.12	190.10	calibration
1998-02-01	2.41	116.50	calibration
1998-03-01	1.67	139.80	calibration
1998-04-01	1.68	130.60	calibration
1998-05-01	2.01	137.00	calibration
1998-06-01	2.82	156.90	calibration
1998-07-01	2.74	107.70	calibration
1998-08-01	2.97	145.90	calibration
1998-09-01	2.38	127.10	calibration
1998-10-01	2.10	100.90	calibration
1998-11-01	4.12	212.20	calibration
1998-12-01	2.44	80.40	calibration
1999-01-01	5.07	180.30	calibration
1999-02-01	8.10	276.40	calibration
1999-03-01	6.24	101.30	calibration
1999-04-01	5.58	246.00	calibration
1999-05-01	6.55	221.10	calibration
1999-06-01	8.92	171.40	calibration
1999-07-01	11.39	420.30	calibration
1999-08-01	12.45	275.50	calibration
1999-09-01	9.76	114.10	calibration
1999-10-01	7.99	174.50	calibration
1999-11-01	6.62	117.00	calibration
1999-12-01	8.36	119.60	calibration
2000-01-01	7.49	193.70	calibration
2000-02-01	6.03	128.80	calibration
2000-03-01	7.36	251.20	calibration
2000-04-01	8.70	221.70	calibration
2000-05-01	8.39	128.60	calibration
2000-06-01	7.70	191.00	calibration
2000-07-01	9.00	172.60	calibration
2000-08-01	10.34	215.00	calibration
2000-09-01	7.83	128.70	calibration
2000-10-01	5.76	118.00	calibration
2000-11-01	4.50	179.30	calibration
2000-12-01	5.32	212.30	calibration
2001-01-01	4.63	162.00	calibration
2001-02-01	3.46	82.90	calibration
2001-03-01	5.84	255.90	calibration
2001-04-01	4.40	97.80	calibration
2001-05-01	4.64	191.40	calibration
2001-06-01	7.61	233.90	calibration
2001-07-01	6.85	146.10	calibration
2001-08-01	7.63	224.40	calibration
2001-09-01	7.53	115.70	calibration
2001-10-01	7.43	234.10	calibration
2001-11-01	5.79	145.20	calibration
2001-12-01	6.51	211.50	calibration
2002-01-01	15.05	334.70	calibration
2002-02-01	10.08	130.00	calibration
2002-03-01	7.03	161.30	calibration
2002-04-01	6.31	157.50	calibration
2002-05-01	6.18	209.20	calibration
2002-06-01	5.58	134.80	calibration
2002-07-01	5.89	133.40	calibration
2002-08-01	6.99	177.70	calibration
2002-09-01	6.87	184.00	calibration
2002-10-01	5.25	54.10	calibration
2002-11-01	5.09	91.10	calibration
2002-12-01	3.56	68.40	calibration
2003-01-01	2.61	43.60	calibration
2003-02-01	3.36	112.30	calibration
2003-03-01	3.44	226.70	calibration
2003-04-01	3.74	179.90	calibration
2003-05-01	4.61	211.70	calibration
2003-06-01	8.58	221.60	calibration
2003-07-01	6.11	226.10	calibration
2003-08-01	7.06	165.40	calibration
2003-09-01	8.11	159.10	calibration
2003-10-01	5.69	84.20	calibration
2003-11-01	4.90	100.00	calibration
2003-12-01	3.95	79.50	calibration
2004-01-01	7.29	353.80	calibration
2004-02-01	6.54	127.20	calibration
2004-03-01	8.01	414.70	calibration
2004-04-01	7.31	131.00	calibration
2004-05-01	7.77	279.90	calibration
2004-06-01	7.88	163.80	calibration
2004-07-01	8.25	126.20	calibration
2004-08-01	6.14	55.10	calibration
2004-09-01	5.06	54.00	calibration
2004-10-01	4.23	85.90	calibration
2004-11-01	5.31	223.80	calibration
2004-12-01	2.80	25.60	calibration
2005-01-01	2.89	109.70	calibration
2005-02-01	3.59	119.40	calibration
2005-03-01	2.70	232.40	calibration
2005-04-01	4.63	284.80	calibration
2005-05-01	5.40	187.40	calibration
2005-06-01	7.41	199.40	calibration
2005-07-01	7.24	238.20	calibration
2005-08-01	7.82	170.00	calibration
2005-09-01	6.76	112.10	calibration
2005-10-01	5.18	79.20	calibration
2005-11-01	4.84	175.00	calibration
2005-12-01	5.12	134.40	calibration
2006-01-01	4.57	143.70	calibration
2006-02-01	3.22	91.90	calibration
2006-03-01	3.45	194.10	calibration
